SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,avgDomainLength,noWords,check_suspend,check_verify,noOfURLs,noOfLinks,checkIP,checkAtSym,checkURLShorten,checkImg,checkPort,Phishing
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,1,0,95,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,168,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,0,0,80,False,False,2,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,54,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,97,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,39,False,False,False,False,0,0,0,True,False,0,0,50,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,41,False,False,False,False,0,0,0,True,False,1,0,331,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,1,0,162,False,False,3,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,146,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,34,False,False,1,0,1,1,1,0,1,0
1,0,False,False,5,23,False,False,False,False,0,0,0,True,False,0,0,24,False,False,0,0,1,1,1,0,1,0
1,0,True,False,5,27,False,False,False,False,0,0,0,True,False,0,0,420,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,30,False,False,False,False,0,0,0,True,False,3,0,179,False,False,2,0,1,1,1,0,1,0
1,0,True,False,7,44,False,False,False,False,0,0,0,True,False,1,0,168,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,29,False,False,False,False,0,0,0,True,False,0,0,92,False,False,1,0,1,1,1,0,1,0
1,0,False,False,10,49,False,False,False,False,0,0,0,True,False,1,0,43,False,False,1,0,1,1,1,0,1,0
1,0,True,False,11,53,False,False,False,False,0,0,0,True,False,1,0,132,False,False,2,0,1,1,1,0,1,0
1,0,False,False,6,45,False,False,False,False,0,0,0,True,False,1,0,134,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,30,False,False,False,False,0,0,0,True,False,2,0,114,False,False,1,0,1,1,1,0,1,0
1,0,False,False,6,25,False,False,False,False,0,0,0,True,False,0,0,14,False,False,2,0,1,1,1,0,1,0
1,0,False,False,6,40,False,False,False,False,0,0,0,True,False,1,0,57,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,30,False,False,False,False,0,0,0,True,False,3,0,169,False,False,1,0,1,1,1,0,1,0
1,0,False,False,8,56,False,False,False,False,0,0,0,True,False,5,0,198,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,27,False,False,False,False,0,0,0,True,False,0,0,299,False,False,3,0,1,1,1,0,1,0
1,0,True,False,5,27,False,False,False,False,0,0,0,True,False,0,0,437,False,False,4,0,1,1,1,0,1,0
1,0,False,False,16,90,False,False,False,False,0,0,0,True,False,0,0,116,False,False,4,0,1,1,1,0,1,0
1,0,True,False,5,38,False,False,False,False,0,0,0,True,False,0,0,89,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,38,False,False,False,False,0,0,0,True,False,1,0,116,False,False,3,0,1,1,1,0,1,0
1,0,True,False,17,94,False,False,False,False,0,0,0,True,False,0,0,147,False,False,3,0,1,1,1,0,1,0
1,0,False,False,5,35,False,False,False,False,0,0,0,True,False,1,0,79,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,33,False,False,False,False,0,0,0,True,False,1,0,158,False,False,4,0,1,1,1,0,1,0
1,0,True,False,2,14,False,False,False,False,0,0,0,True,False,1,0,312,False,False,2,0,1,1,1,0,1,0
1,0,False,False,3,13,False,False,False,False,0,0,0,True,False,2,26.5,289,False,False,1,2,1,0,1,0,1,0
1,0,True,False,4,17,False,False,False,False,0,0,0,True,False,2,0,395,False,False,0,0,1,1,1,0,1,0
1,0,False,False,3,12,False,False,False,False,0,0,0,True,False,0,0,25,False,False,0,0,1,1,1,0,1,0
1,0,True,False,4,17,False,False,False,False,0,0,0,True,False,0,0,90,False,False,3,0,1,1,1,0,1,0
1,0,False,False,12,80,False,False,False,False,0,0,0,True,False,1,0,277,False,False,3,0,1,1,1,0,1,0
1,0,False,False,1,9,False,False,False,False,0,0,0,True,False,0,0,150,False,False,0,0,1,1,1,0,1,0
1,0,False,False,7,52,False,False,False,False,0,0,0,True,False,1,0,143,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,59,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,0,0,124,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,0,0,177,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,0,0,55,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,34,False,False,False,False,0,0,0,True,False,0,0,34,False,False,1,0,1,1,1,0,1,0
1,0,True,False,9,52,False,False,False,False,0,0,0,True,False,0,0,174,False,False,3,0,1,1,1,0,1,0
1,0,True,False,5,23,False,False,False,False,0,0,0,True,False,0,0,62,False,False,0,0,1,1,1,0,1,0
1,0,False,False,5,26,False,False,False,False,0,0,0,True,False,0,0,103,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,23,False,False,False,False,0,0,0,True,False,0,0,343,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,23,False,False,False,False,0,0,0,True,False,0,0,47,False,False,0,0,1,1,1,0,1,0
1,0,True,False,5,23,False,False,False,False,0,0,0,True,False,0,0,110,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,27,False,False,False,False,0,0,0,True,False,2,0,101,False,False,1,0,1,1,1,0,1,0
1,0,True,False,5,23,False,False,False,False,0,0,0,True,False,0,0,204,False,False,1,0,1,1,1,0,1,0
1,0,False,False,10,55,False,False,False,False,0,0,0,True,False,2,0,34,False,False,1,0,1,1,1,0,1,0
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,1,0,197,False,False,1,0,1,1,1,0,1,0
1,0,False,False,7,42,False,False,False,False,0,0,0,True,False,2,0,278,False,False,1,0,1,1,1,0,1,0
1,0,False,False,6,34,False,False,False,False,0,0,0,True,False,1,0,165,False,False,1,0,1,1,1,0,1,0
1,0,True,False,7,38,False,False,False,False,0,0,0,True,False,2,0,273,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,34,False,False,False,False,0,0,0,True,False,1,0,83,False,False,1,0,1,1,1,0,1,0
1,0,True,False,7,38,False,False,False,False,0,0,0,True,False,1,0,167,False,False,1,0,1,1,1,0,1,0
1,0,True,False,6,38,False,False,False,False,0,0,0,True,False,1,0,164,False,False,2,0,1,1,1,0,1,0
1,0,True,False,6,38,False,False,False,False,0,0,0,True,False,1,0,68,False,False,1,0,1,1,1,0,1,0
1,0,True,False,7,38,False,False,False,False,0,0,0,True,False,3,0,241,False,False,3,0,1,1,1,0,1,0
1,0,False,False,5,34,False,False,False,False,0,0,0,True,False,1,0,55,False,False,2,0,1,1,1,0,1,0
1,0,False,False,8,40,False,False,False,False,0,0,0,True,False,2,0,384,False,False,1,0,1,1,1,0,1,0
1,0,True,False,4,21,False,False,False,False,0,0,0,True,False,1,0,168,False,False,1,0,1,1,1,0,1,0
1,0,False,False,5,27,False,False,False,False,0,0,0,True,False,1,0,116,False,False,2,0,1,1,1,0,1,0
1,0,True,False,8,44,False,False,False,False,0,0,0,True,False,1,0,294,False,False,2,0,1,1,1,0,1,0
1,0,True,False,6,35,False,False,False,False,0,0,0,True,False,0,0,187,False,False,2,0,1,1,1,0,1,0
1,0,True,False,4,29,False,False,False,False,0,0,0,True,False,1,0,63,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,51,False,False,False,False,0,0,0,True,False,1,0,192,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,36,False,False,False,False,0,0,0,True,False,1,0,212,False,False,1,0,1,1,1,0,1,0
1,0,True,False,4,27,False,False,False,False,0,0,0,True,False,1,0,169,False,False,1,0,1,1,1,0,1,0
1,0,True,False,4,27,False,False,False,False,0,0,0,True,False,1,0,114,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,56,False,False,False,False,0,0,0,True,False,1,0,251,False,False,3,0,1,1,1,0,1,0
1,0,False,False,9,61,False,False,False,False,0,0,0,True,False,3,0,144,False,False,1,0,1,1,1,0,1,0
1,0,True,False,10,65,False,False,False,False,0,0,0,True,False,6,0,368,False,False,3,0,1,1,1,0,1,0
1,0,True,False,6,34,False,False,False,False,0,0,0,True,False,1,0,103,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,56,False,False,False,False,0,0,0,True,False,2,0,175,False,False,1,0,1,1,1,0,1,0
1,0,False,False,8,48,False,False,False,False,0,0,0,True,False,2,0,201,False,False,2,0,1,1,1,0,1,0
1,0,True,False,6,34,False,False,False,False,0,0,0,True,False,1,0,292,False,False,4,0,1,1,1,0,1,0
1,0,False,False,4,39,False,False,False,False,0,0,0,True,False,2,0,121,False,False,3,0,1,1,1,0,1,0
1,0,True,False,5,43,False,False,False,False,0,0,0,True,False,2,0,193,False,False,4,0,1,1,1,0,1,0
1,0,False,False,4,24,False,False,False,False,0,0,0,True,False,1,0,91,False,False,3,0,1,1,1,0,1,0
1,0,False,False,9,49,False,False,False,False,0,0,0,True,False,1,0,271,False,False,3,0,1,1,1,0,1,0
1,0,True,False,5,43,False,False,False,False,0,0,0,True,False,2,0,186,False,False,4,0,1,1,1,0,1,0
1,0,False,False,7,50,False,False,False,False,0,0,0,True,False,1,0,224,False,False,2,0,1,1,1,0,1,0
1,0,True,False,3,29,False,False,False,False,0,0,0,True,False,1,0,118,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,32,False,False,False,False,0,0,0,True,False,1,0,91,False,False,3,0,1,1,1,0,1,0
1,0,True,False,8,51,False,False,False,False,0,0,0,True,False,1,0,165,False,False,5,0,1,1,1,0,1,0
1,0,True,False,8,51,False,False,False,False,0,0,0,True,False,1,0,116,False,False,2,0,1,1,1,0,1,0
1,0,True,False,2,11,False,False,False,False,0,0,0,True,False,0,0,73,False,False,1,0,1,1,1,0,1,0
